Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,asymmetric,0.91,0.428231918
100% Corpus,8,asymmetric,0.61,0.413936592
100% Corpus,8,0.01,0.91,0.413109047
100% Corpus,8,asymmetric,0.31,0.361169106
100% Corpus,8,0.91,0.91,0.349714018
100% Corpus,8,0.31,0.01,0.338881057
100% Corpus,8,0.31,0.91,0.337469546
100% Corpus,8,0.91,0.61,0.333496501
100% Corpus,8,symmetric,0.91,0.331620371
100% Corpus,8,0.91,0.01,0.329428131
100% Corpus,8,0.61,0.91,0.327014019
100% Corpus,8,0.91,0.31,0.326924554
100% Corpus,8,0.31,symmetric,0.324651184
100% Corpus,8,symmetric,0.61,0.323176592
100% Corpus,8,0.31,0.31,0.322519505
100% Corpus,8,0.61,symmetric,0.321825237
100% Corpus,8,0.61,0.01,0.321261035
100% Corpus,8,0.31,0.61,0.318227307
100% Corpus,8,0.61,0.61,0.316261142
100% Corpus,8,0.91,symmetric,0.315524045
100% Corpus,8,0.61,0.31,0.312762856
100% Corpus,8,0.01,0.61,0.309295991
100% Corpus,8,symmetric,0.31,0.303578246
100% Corpus,8,asymmetric,0.01,0.296410198
100% Corpus,8,symmetric,0.01,0.295674497
100% Corpus,8,0.01,0.01,0.290424456
100% Corpus,8,0.01,0.31,0.288994079
100% Corpus,8,asymmetric,symmetric,0.287735547
100% Corpus,8,0.01,symmetric,0.271133416
100% Corpus,8,symmetric,symmetric,0.269956271
